Neighborhood,Total_Points,Normalized_Points
East Boston,5468.5,0.12697951980680816
Charlestown,5087.8,0.25654497781363456
North End,1596.8,0.1576152403513967
West End,1295.2,0.31745098039215686
Downtown,3418.2,0.2022244571969473
Beacon Hill,1506.1,0.15853684210526314
Leather District,275.0,0.38035961272475793
Chinatown,699.7,0.004664666666666667
Bay Village,406.4,0.3097560975609756
Back Bay,2643.9,0.14546104753521127
South Boston Waterfront,1928.5,0.3534640762463343
South End,4081.0,0.11204458721137743
South Boston,7512.3,0.22299631916409404
Fenway,2417.4,0.06406593697824187
Longwood,924.9,0.3205892547660312
Mission Hill,1693.5,0.09045507958551437
Roxbury,8795.8,0.14751618421493978
Dorchester,16823.3,0.13768035289014738
Jamaica Plain,6763.1,0.16490539354335318
Allston,2981.8,0.10418224380699487
Brighton,6017.5,0.12472019565577848
Mattapan,3396.8,0.09615852795470631
Roslindale,5265.9,0.1674585002862049
West Roxbury,8205.7,0.24184202770409668
Hyde Park,6727.7,0.1914160525791675
