OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
1,K32015,1200 Beacon St,42.344148990000001,-71.114673609999997,Brookline,Yes,15,POINT (-71.114673609999954 42.344148990000065),-71.114673609999954,42.344148990000065
2,W32006,160 Arsenal St,42.364664030000000,-71.175693870000003,Watertown,Yes,11,POINT (-71.175693869999975 42.364664030000029),-71.175693869999975,42.364664030000029
3,A32019,175 N Harvard St,42.364474569999999,-71.128408309999998,Boston,Yes,17,POINT (-71.128408309999941 42.364474570000027),-71.128408309999941,42.364474570000027
4,S32035,191 Beacon St,42.380323349999998,-71.108786129999999,Somerville,Yes,19,POINT (-71.108786129999942 42.380323350000026),-71.108786129999942,42.380323350000026
5,C32094,2 Hummingbird Lane at Olmsted Green,42.288870000000003,-71.095003000000005,Boston,Yes,17,POINT (-71.095002999999963 42.288870000000031),-71.095002999999963,42.288870000000031
6,S32023,30 Dane St,42.381001429999998,-71.104025230000005,Somerville,Yes,15,POINT (-71.104025229999934 42.381001430000026),-71.104025229999934,42.381001430000026
7,M32026,359 Broadway - Broadway at Fayette Street,42.370803000000002,-71.104411999999996,Cambridge,Yes,23,POINT (-71.104411999999968 42.37080300000008),-71.104411999999968,42.370803000000080
8,S32049,515 Somerville Ave (Temp. Winter Location),42.383227269999999,-71.106069090000005,Somerville,Yes,19,POINT (-71.106069089999949 42.383227270000077),-71.106069089999949,42.383227270000077
9,M32088,55 Wheeler Street,42.390821000000003,-71.143946000000000,Cambridge,Yes,23,POINT (-71.143945999999971 42.390821000000074),-71.143945999999971,42.390821000000074
10,C32106,555 Metropolitan Ave,42.268099999999997,-71.119240000000005,Boston,Yes,18,POINT (-71.119239999999934 42.268100000000061),-71.119239999999934,42.268100000000061
11,C32105,606 American Legion Hwy at Canterbury St,42.285780000000003,-71.109724999999997,Boston,Yes,18,POINT (-71.109724999999969 42.285780000000045),-71.109724999999969,42.285780000000045
12,C32091,645 Summer St,42.341780890000003,-71.039870170000000,Boston,Yes,19,POINT (-71.039870169999972 42.341780890000052),-71.039870169999972,42.341780890000052
13,M32054,699 Mt Auburn St,42.375002350000003,-71.148716140000005,Cambridge,Yes,25,POINT (-71.148716139999976 42.375002350000045),-71.148716139999976,42.375002350000045
14,V32001,7 Acre Park,42.411432230000003,-71.068232649999999,Everett,Yes,15,POINT (-71.06823264999997 42.411432230000059),-71.068232649999970,42.411432230000059
15,B32060,700 Commonwealth Ave.,42.349609450000003,-71.103915240000006,Boston,Yes,16,POINT (-71.103915239999935 42.349609450000059),-71.103915239999935,42.349609450000059
16,M32060,700 Huron Ave,42.380788170000002,-71.154128909999997,Cambridge,Yes,19,POINT (-71.15412890999994 42.380788170000073),-71.154128909999940,42.380788170000073
17,M32064,75 Binney St,42.365507289999996,-71.080137600000000,Cambridge,Yes,19,POINT (-71.080137599999944 42.365507290000039),-71.080137599999944,42.365507290000039
18,M32058,84 Cambridgepark Dr,42.393599999999999,-71.143940999999998,Cambridge,Yes,27,POINT (-71.143940999999984 42.393600000000049),-71.143940999999984,42.393600000000049
19,H32006,855 Broadway,42.398417729999998,-71.023909230000001,Chelsea,Yes,11,POINT (-71.023909229999958 42.398417730000062),-71.023909229999958,42.398417730000062
20,M32084,87-101 Cambridgepark Drive,42.395221870000000,-71.144219039999996,Cambridge,Yes,23,POINT (-71.144219039999939 42.395221870000057),-71.144219039999939,42.395221870000057
21,M32073,955 Mass Ave,42.368951809999999,-71.109987799999999,Cambridge,Yes,19,POINT (-71.109987799999942 42.368951810000056),-71.109987799999942,42.368951810000056
22,C32061,Albany St at E. Brookline St,42.336647950000000,-71.068944599999995,Boston,Yes,15,POINT (-71.068944599999952 42.336647950000042),-71.068944599999952,42.336647950000042
23,M32046,Alewife MBTA at Steel Place,42.395588459999999,-71.142606139999998,Cambridge,Yes,19,POINT (-71.142606139999941 42.395588460000056),-71.142606139999941,42.395588460000056
24,M32033,Alewife Station at Russell Field,42.396104999999999,-71.139459000000002,Cambridge,Yes,23,POINT (-71.139458999999988 42.396105000000034),-71.139458999999988,42.396105000000034
25,C32079,American Legion Hwy at Cummins Hwy,42.278811580000003,-71.116877029999998,Boston,Yes,14,POINT (-71.116877029999955 42.278811580000081),-71.116877029999955,42.278811580000081
26,M32059,Ames St at Broadway,42.363692899999997,-71.087567199999995,Cambridge,Yes,19,POINT (-71.087567199999967 42.363692900000046),-71.087567199999967,42.363692900000046
27,M32037,Ames St at Main St,42.362499999999997,-71.088220000000007,Cambridge,Yes,19,POINT (-71.088219999999978 42.362500000000068),-71.088219999999978,42.362500000000068
28,B32004,Aquarium T Stop - 200 Atlantic Ave,42.360441360000003,-71.050439400000002,Boston,Yes,23,POINT (-71.050439399999959 42.360441360000038),-71.050439399999959,42.360441360000038
29,C32048,Archdale Rd at Washington St,42.292665929999998,-71.121195389999997,Boston,Yes,15,POINT (-71.121195389999968 42.292665930000055),-71.121195389999968,42.292665930000055
30,W32004,Arsenal Yards,42.362773890000000,-71.157648539999997,Watertown,Yes,14,POINT (-71.157648539999968 42.362773890000028),-71.157648539999968,42.362773890000028
31,C32062,Ashmont T Stop,42.285694399999997,-71.064138900000003,Boston,Yes,15,POINT (-71.064138899999989 42.285694400000068),-71.064138899999989,42.285694400000068
32,S32018,Assembly Square T,42.392232839999998,-71.077466009999995,Somerville,Yes,15,POINT (-71.077466009999966 42.392232840000077),-71.077466009999966,42.392232840000077
33,ZZ32996,Auburn St. at Mystic River,42.417590900000000,-71.126081279999994,Medford,Yes,11,POINT (-71.126081279999937 42.41759090000005),-71.126081279999937,42.417590900000050
34,N32015,Auburndale,42.348055410000001,-71.247759459999997,Newton,Yes,15,POINT (-71.247759459999941 42.348055410000029),-71.247759459999941,42.348055410000029
35,A32003,B.U. Central - 725 Comm. Ave.,42.350406000000000,-71.108278999999996,Boston,Yes,11,POINT (-71.108278999999982 42.350406000000078),-71.108278999999982,42.350406000000078
36,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.348074120000000,-71.076570149999995,Boston,Yes,19,POINT (-71.076570149999952 42.348074120000035),-71.076570149999952,42.348074120000035
37,N32003,Bacon St at Washington St,42.357119210000000,-71.186045370000002,Newton,Yes,11,POINT (-71.186045369999988 42.357119210000064),-71.186045369999988,42.357119210000064
