OID_,Census_Tra,Name,Address,City,Zipcode,Statea,Contact,PhoneNumbe,Latitude,Longitude,Comment_,Primary_Alt,Alternative_Name,DailyAvg,shape_wkt,POINT_X,POINT_Y
1,0.000000000000000,Arbour Hospital,"49 Robinwood Ave, Boston, MA", ,02130, ,ARBOUR HOSP INC MASS CORP,617-522-4400,42.315770000000001,-71.112249989999995, ,Primary,,,POINT (-71.112250051999979 42.315775396000049),-71.112250051999979,42.315775396000049
2,0.000000000000000,Franciscan Children's Hospital & Rehab Center,"30 Warren St, Boston, MA", ,02119, ,RYAN ALBERTHA K TS,(617) 254-3800,42.329740000000001,-71.083059989999995, ,Primary,,,POINT (-71.083059999999989 42.329740000000072),-71.083059999999989,42.329740000000072
3,0.000000000000000,Hebrew Rehabilitation Center,"1200 Centre St, Boston, MA", ,02131, ,HEBREW REHABILITATION CNTR,617-363-8000,42.296681079999999,-71.130733840000005, ,Primary,,,POINT (-71.130733849999956 42.296681084000056),-71.130733849999956,42.296681084000056
4,0.000000000000000,Jewish Memorial Hospital & Radius Hospital,"59 Townsend St, Boston, MA", ,02119, ,RADIUS-FA LTCH REALTY LLC,617-522-8110,42.318585339999998,-71.092444939999993, ,Primary,,,POINT (-71.09244494099994 42.318585346000077),-71.092444940999940,42.318585346000077
5,0.000000000000000,Kindred Hospital,"1515 Commonwealth Ave, Boston, MA", ,02135, ,VENTAS LPS,617-254-1100,42.346599990000001,-71.141849989999997, ,Primary,,,POINT (-71.141849999999977 42.34660000000008),-71.141849999999977,42.346600000000080
6,0.000000000000000,Lemuel Shattuck Hospital,"170 Morton St, Boston, MA", ,02124, ,COMMONWEALTH OF MASS,617-989-8315,42.299436759999999,-71.101837700000004, ,Primary,,,POINT (-71.101837705999969 42.299436766000042),-71.101837705999969,42.299436766000042
7,0.000000000000000,Shriner’s Burn Institute ,"51 Blossom St, Boston, MA", ,02114, ,SHRINERS HOSPITAL,617-523-1684,42.363079999999997,-71.066449989999995, ,Primary,Shriner’s Burn Institute ,,POINT (-71.066449999999975 42.363080000000025),-71.066449999999975,42.363080000000025
8,0.000000000000000,Spaulding Rehabilitation Hospital,"125 Nashua St, Boston, MA", ,02114, ,SPAULDING REHAB HOSPITAL CP,617-573-7000,42.367829989999997,-71.064949990000002, ,Primary,,,POINT (-71.064949999999953 42.367829999000037),-71.064949999999953,42.367829999000037
9,2069.000000000000000,Beth Isreal Deaconess medical Center - East Campus,"330 Brookline Ave, Boston, MA 02215", ,02115, ,BETH ISRAEL DEACONESS,617-667-7000,42.339819990000002,-71.105679989999999, ,Primary,,140.000000000000000,POINT (-71.105680050999979 42.339825396000037),-71.105680050999979,42.339825396000037
10,2307.000000000000000,Boston Medical Center - Menino Campus,"1 Boston Medical Center Pl. Boston, 02118", ,02118, ,BOSTON PUBLIC HEALTH COMM,617-638-8000,42.334784100000000,-71.073204050000001, ,Primary,,330.000000000000000,POINT (-71.073204101999977 42.33478950500006),-71.073204101999977,42.334789505000060
