OID_,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,shape_wkt,POINT_X,POINT_Y
1,163.000000000000000,5300,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA,POINT (-71.105142549999982 42.327667079000037),-71.105142549999982,42.327667079000037
2,153.000000000000000,5470,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,BOSTON,MA,02122,Karmala Sherwood,617-474-7950,617-474-7957,"6,7,8",CHA,POINT (-71.058716513999968 42.301393980000057),-71.058716513999968,42.301393980000057
3,1100.000000000000000,00350950,British School of Boston,416-420 Pond Street,Jamaica Plain,BOSTON,MA,02130,Bruce Robinson,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",PRI,POINT (-71.130149599999982 42.306584333000046),-71.130149599999982,42.306584333000046
4,206.000000000000000,05230001,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP,POINT (-71.095738777999941 42.349337775000038),-71.095738777999941,42.349337775000038
5,134.000000000000000,5600,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,BOSTON,MA,02136,Jenne Colasacco,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12",CHA,POINT (-71.13213133499994 42.244261811000058),-71.132131334999940,42.244261811000058
6,136.000000000000000,5500,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,BOSTON,MA,02125,Tobey Jackson,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12",CHA,POINT (-71.060870960999978 42.321631088000061),-71.060870960999978,42.321631088000061
7,137.000000000000000,5520,Boston Preparatory Charter Public School,1286 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Amanda Colley,617-333-6688,617-333-6689,"6,7,8,9,10",CHA,POINT (-71.123737764999987 42.254798444000073),-71.123737764999987,42.254798444000073
8,138.000000000000000,5400,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA,POINT (-71.126821746999951 42.250367685000072),-71.126821746999951,42.250367685000072
9,143.000000000000000,5440,Codman Academy Charter Public School,637 Washington Street,Dorchester,BOSTON,MA,02124,Thabiti Brown,617-287-0700,617-287-9064,"9,10,11,12",CHA,POINT (-71.071930592999934 42.289439664000042),-71.071930592999934,42.289439664000042
10,144.000000000000000,5201,Conservatory Lab Charter School - Brighton,320 Washington Street,Brighton,BOSTON,MA,02135,Brad Kershner,617-208-6200,617-254-8909,"K,1,2",CHA,POINT (-71.151760773999968 42.348850986000059),-71.151760773999968,42.348850986000059
11,149.000000000000000,5450,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,BOSTON,MA,02131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA,POINT (-71.122003567999968 42.281689939000046),-71.122003567999968,42.281689939000046
12,151.000000000000000,5490,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,BOSTON,MA,02128,Komal Bhasin,617-561-1371,617-561-1378,"5,6,7,8",CHA,POINT (-71.018670274999977 42.382784314000048),-71.018670274999977,42.382784314000048
13,157.000000000000000,5431,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,BOSTON,MA,02215,Jorge Miranda,617-232-0300,617-232-2838,"9,10,11,12",CHA,POINT (-71.120984039999939 42.352149346000033),-71.120984039999939,42.352149346000033
14,159.000000000000000,5700,Neighborhood House Charter School,21 Queen Street,Dorchester,BOSTON,MA,02122,Kevin Andrews,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8",CHA,POINT (-71.053471384999966 42.293335601000081),-71.053471384999966,42.293335601000081
