Neighborhood,Total_Points,Normalized_Points
East Boston,6602,0.15329958668090837
Charlestown,5430,0.2737999193223074
North End,1815,0.1791530944625407
West End,1667,0.408578431372549
Downtown,4665,0.27598651127018875
Beacon Hill,1741,0.18326315789473685
Leather District,300,0.4149377593360996
Chinatown,881,0.005873333333333334
Bay Village,445,0.3391768292682927
Back Bay,3541,0.19481734154929578
South Boston Waterfront,2138,0.3918621700879765
South End,4934,0.1354638552562941
South Boston,8516,0.2527903110900024
Fenway,2985,0.07910847268968807
Longwood,1026,0.355632582322357
Mission Hill,2016,0.10768080333297725
Roxbury,11345,0.1902693455874954
Dorchester,21825,0.1786138095277066
Jamaica Plain,7827,0.19084658148834488
Allston,3575,0.12490828412703958
Brighton,6886,0.1427209418006964
Mattapan,4430,0.1254069355980184
Roslindale,5895,0.18746422438465943
West Roxbury,8790,0.25906277630415564
Hyde Park,7590,0.21595015221782798
